Time (ms),Estimated HR (Hz),Estimated HR (bpm),Time to next peak (ms),Heart rate pulse interval (ms),Red LED ADC,IR LED ADC
16265,0.98761,59,184,1012,2.81692e+06,3.09955e+06
16305,0.98761,59,144,1012,2.8168e+06,3.09923e+06
16345,0.98761,59,104,1012,2.81666e+06,3.09889e+06
16385,0.98761,59,64,1012,2.81662e+06,3.09879e+06
16427,0.98761,59,22,1012,2.81662e+06,3.09875e+06
16467,0.98761,59,994,1012,2.8166e+06,3.09873e+06
16507,0.98761,59,954,1012,2.8166e+06,3.09875e+06
16547,0.98761,59,914,1012,2.81663e+06,3.09889e+06
16587,0.992314,59,755,1007,2.81666e+06,3.09894e+06
16630,0.992314,59,712,1007,2.81668e+06,3.099e+06
16670,0.992314,59,672,1007,2.81672e+06,3.09906e+06
16710,0.992314,59,632,1007,2.81672e+06,3.09911e+06
16750,0.992314,59,592,1007,2.81674e+06,3.09919e+06
16790,0.992314,59,552,1007,2.81676e+06,3.09925e+06
16832,0.992314,59,510,1007,2.81678e+06,3.09932e+06
16872,0.992314,59,470,1007,2.81679e+06,3.09936e+06
16912,0.992314,59,430,1007,2.81682e+06,3.0994e+06
16952,0.992314,59,390,1007,2.81683e+06,3.09946e+06
16992,0.992314,59,350,1007,2.81684e+06,3.09949e+06
17033,0.992314,59,309,1007,2.81685e+06,3.09953e+06
17073,0.992314,59,269,1007,2.81688e+06,3.09956e+06
17113,0.992314,59,229,1007,2.81689e+06,3.09961e+06
17153,0.992314,59,189,1007,2.81689e+06,3.09964e+06
17193,0.992314,59,149,1007,2.81686e+06,3.09955e+06
17240,0.992314,59,102,1007,2.81672e+06,3.09916e+06
17280,0.992314,59,62,1007,2.81662e+06,3.09888e+06
17320,0.992314,59,22,1007,2.81658e+06,3.09883e+06
17360,0.992314,59,989,1007,2.81656e+06,3.0988e+06
17400,0.992314,59,949,1007,2.81658e+06,3.09882e+06
17442,0.992314,59,907,1007,2.81661e+06,3.09892e+06
17482,0.992314,59,867,1007,2.81666e+06,3.09904e+06
17522,0.993977,59,754,1006,2.81666e+06,3.09906e+06
17562,0.993977,59,714,1006,2.81666e+06,3.09908e+06
17602,0.993977,59,674,1006,2.81668e+06,3.09915e+06
17648,0.993977,59,628,1006,2.81671e+06,3.09922e+06
17688,0.993977,59,588,1006,2.81673e+06,3.09926e+06
